filename|entry_date|entry_timestamp|book|chapter|verse
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:55:46|Wed 1 Jan 2014 00:55:46|Proverbs|16|30
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:56:12|Wed 1 Jan 2014 00:56:12|Proverbs|17|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:57:04|Wed 1 Jan 2014 00:57:04|Proverbs|17|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:57:44|Wed 1 Jan 2014 00:57:44|Proverbs|17|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:32|Wed 1 Jan 2014 00:59:32|Proverbs|17|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:32|Wed 1 Jan 2014 00:59:32|Proverbs|17|16
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:32|Wed 1 Jan 2014 00:59:32|Proverbs|17|17
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:32|Wed 1 Jan 2014 00:59:32|Proverbs|17|18
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:32|Wed 1 Jan 2014 00:59:32|Proverbs|17|19
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:34|Wed 1 Jan 2014 00:59:34|Proverbs|17|19
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:35|Wed 1 Jan 2014 00:59:35|Proverbs|17|18
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:35|Wed 1 Jan 2014 00:59:35|Proverbs|17|17
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:36|Wed 1 Jan 2014 00:59:36|Proverbs|17|16
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:37|Wed 1 Jan 2014 00:59:37|Proverbs|17|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:39|Wed 1 Jan 2014 00:59:39|Proverbs|17|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:39|Wed 1 Jan 2014 00:59:39|Proverbs|17|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:40|Wed 1 Jan 2014 00:59:40|Proverbs|17|16
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:41|Wed 1 Jan 2014 00:59:41|Proverbs|17|17
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:41|Wed 1 Jan 2014 00:59:41|Proverbs|17|17
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:52|Wed 1 Jan 2014 00:59:52|Proverbs|17|18
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:59|Wed 1 Jan 2014 00:59:59|Proverbs|17|19
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:59:59|Wed 1 Jan 2014 00:59:59|Proverbs|17|19
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:00:37|Wed 1 Jan 2014 01:00:37|Proverbs|17|20
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:01:38|Wed 1 Jan 2014 01:01:38|Proverbs|20|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:02:43|Wed 1 Jan 2014 01:02:43|Proverbs|22|10
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:08:02|Wed 1 Jan 2014 01:08:02|Proverbs|22|11
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:08:13|Wed 1 Jan 2014 01:08:13|Proverbs|22|12
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:08:15|Wed 1 Jan 2014 01:08:15|Proverbs|22|11
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:09:10|Wed 1 Jan 2014 01:09:10|Proverbs|26|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:10:33|Wed 1 Jan 2014 01:10:33|Proverbs|26|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:10:46|Wed 1 Jan 2014 01:10:46|Proverbs|26|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:10:46|Wed 1 Jan 2014 01:10:46|Proverbs|26|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:11:00|Wed 1 Jan 2014 01:11:00|Proverbs|26|16
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:11:14|Wed 1 Jan 2014 01:11:14|Proverbs|26|17
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:11:46|Wed 1 Jan 2014 01:11:46|Proverbs|26|18
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:11:55|Wed 1 Jan 2014 01:11:55|Proverbs|26|19
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:11:56|Wed 1 Jan 2014 01:11:56|Proverbs|26|18
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:11:58|Wed 1 Jan 2014 01:11:58|Proverbs|26|19
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:12:06|Wed 1 Jan 2014 01:12:06|Proverbs|26|20
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:12:15|Wed 1 Jan 2014 01:12:15|Proverbs|26|20
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:12:47|Wed 1 Jan 2014 01:12:47|Proverbs|26|21
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:12:56|Wed 1 Jan 2014 01:12:56|Proverbs|26|22
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:13:55|Wed 1 Jan 2014 01:13:55|Proverbs|26|23
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:14:01|Wed 1 Jan 2014 01:14:01|Proverbs|26|24
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:14:02|Wed 1 Jan 2014 01:14:02|Proverbs|26|23
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:14:18|Wed 1 Jan 2014 01:14:18|Proverbs|26|24
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:14:31|Wed 1 Jan 2014 01:14:31|Proverbs|26|24
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:14:31|Wed 1 Jan 2014 01:14:31|Proverbs|26|25
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:17:15|Wed 1 Jan 2014 01:17:15|Proverbs|28|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:17:47|Wed 1 Jan 2014 01:17:47|Proverbs|1|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:17:48|Wed 1 Jan 2014 01:17:48|Proverbs|1|2
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:17:52|Wed 1 Jan 2014 01:17:52|Proverbs|1|4
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:18:00|Wed 1 Jan 2014 01:18:00|Proverbs|1|5
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:18:07|Wed 1 Jan 2014 01:18:07|Proverbs|1|6
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:18:17|Wed 1 Jan 2014 01:18:17|Proverbs|1|7
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:18:17|Wed 1 Jan 2014 01:18:17|Proverbs|1|7
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:19:04|Wed 1 Jan 2014 01:19:04|Proverbs|28|25
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:20:47|Wed 1 Jan 2014 01:20:47|Proverbs|28|26
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:21:14|Wed 1 Jan 2014 01:21:14|Proverbs|28|27
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:21:41|Wed 1 Jan 2014 01:21:41|Proverbs|28|28
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:21:50|Wed 1 Jan 2014 01:21:50|Proverbs|29|22
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:22:18|Wed 1 Jan 2014 01:22:18|Proverbs|29|22
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:22:23|Wed 1 Jan 2014 01:22:23|Proverbs|29|22
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:22:32|Wed 1 Jan 2014 01:22:32|Proverbs|29|22
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:22:33|Wed 1 Jan 2014 01:22:33|Proverbs|29|23
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:24:27|Wed 1 Jan 2014 01:24:27|Proverbs|29|24
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:24:34|Wed 1 Jan 2014 01:24:34|Proverbs|29|25
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:24:35|Wed 1 Jan 2014 01:24:35|Proverbs|29|24
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:24:39|Wed 1 Jan 2014 01:24:39|Proverbs|29|25
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:24:43|Wed 1 Jan 2014 01:24:43|Proverbs|29|24
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:24:55|Wed 1 Jan 2014 01:24:55|Proverbs|30|32
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:25:22|Wed 1 Jan 2014 01:25:22|Proverbs|30|33
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:25:33|Wed 1 Jan 2014 01:25:33|Proverbs|30|33
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:26:34|Wed 1 Jan 2014 01:26:34|Proverbs|31|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:26:50|Wed 1 Jan 2014 01:26:50|Proverbs|31|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 01:26:50|Wed 1 Jan 2014 01:26:50|Proverbs|30|33
BDA 2014 1 01.txt|Wed 1 Jan 2014 07:58:54|Wed 1 Jan 2014 07:58:54|Proverbs|30|33
BDA 2014 1 01.txt|Wed 1 Jan 2014 07:58:56|Wed 1 Jan 2014 07:58:56|Proverbs|30|33
BDA 2014 1 01.txt|Wed 1 Jan 2014 07:58:57|Wed 1 Jan 2014 07:58:57|Proverbs|30|33
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:02:40|Wed 1 Jan 2014 00:02:40|John|9|31
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:02:42|Wed 1 Jan 2014 00:02:42|Romans|10|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:02:46|Wed 1 Jan 2014 00:02:46|Romans|10|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:05:43|Wed 1 Jan 2014 00:05:43|Ephesians|5|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:06:56|Wed 1 Jan 2014 00:06:56|Luke|3|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:07:02|Wed 1 Jan 2014 00:07:02|Luke|3|4
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:07:13|Wed 1 Jan 2014 00:07:13|Isaiah|40|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:07:15|Wed 1 Jan 2014 00:07:15|Isaiah|40|4
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:07:18|Wed 1 Jan 2014 00:07:18|Isaiah|40|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:09:37|Wed 1 Jan 2014 00:09:37|Philippians|2|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:18:15|Wed 1 Jan 2014 00:18:15|John|6|55
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:18:19|Wed 1 Jan 2014 00:18:19|John|6|54
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:18:21|Wed 1 Jan 2014 00:18:21|John|6|53
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:18:23|Wed 1 Jan 2014 00:18:23|John|6|53
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:18:38|Wed 1 Jan 2014 00:18:38|John|6|54
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:18:40|Wed 1 Jan 2014 00:18:40|John|6|55
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:19:18|Wed 1 Jan 2014 00:19:18|John|6|54
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:19:19|Wed 1 Jan 2014 00:19:19|John|6|53
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:19:21|Wed 1 Jan 2014 00:19:21|John|6|53
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:19:38|Wed 1 Jan 2014 00:19:38|John|6|54
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:19:39|Wed 1 Jan 2014 00:19:39|John|6|55
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:20:35|Wed 1 Jan 2014 00:20:35|3John|1|2
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:22:16|Wed 1 Jan 2014 00:22:16|Ephesians|4|4
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:22:17|Wed 1 Jan 2014 00:22:17|Ephesians|4|5
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:28:30|Wed 1 Jan 2014 00:28:30|1Thessalonians|5|18
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:28:38|Wed 1 Jan 2014 00:28:38|Romans|8|28
